Marca temporal,1. ¿En qué provincia del Ecuador reside actualmente? ,2. ¿Actualmente trabaja en el área de desarrollo de software o tecnologías de la información?  ,3. ¿Cuál es su modalidad laboral preferida?  ,4. ¿Cuál es su cargo o perfil profesional actual?  ,5. ¿Cuál es el principal lenguaje de programación que utiliza?  ,6. ¿Cuántos años de experiencia posee en el área tecnológica?  ,7. ¿Cuál es el rango aproximado de su ingreso mensual?  ,8. ¿Qué tecnología utiliza con mayor frecuencia?  ,9. ¿Qué factor considera más importante al momento de aceptar una oferta laboral?  ,10. ¿Tiene interés en cambiar de empleo durante los próximos 12 meses?  
1/07/2026 23:38:28,Santa Elena,Soy estudiante,Presencial,Estudiante,Java,Entre 1 y 3 años,Prefiero no responder,"Node.js, PostgreSQL, GitHub",Crecimiento profesional,No
1/07/2026 23:52:55,Santa Elena,Soy estudiante,Presencial,Estudiante,Java,Entre 1 y 3 años,Prefiero no responder,MySQL,Crecimiento profesional,No
1/07/2026 23:52:58,Santa Elena,Soy estudiante,Híbrida,Estudiante,Java,Entre 1 y 3 años,Prefiero no responder,"Laravel, PostgreSQL, GitHub",Crecimiento profesional,Tal vez
1/07/2026 23:53:56,Santa Elena,Soy estudiante,Híbrida,Estudiante,Java,Entre 1 y 3 años,Prefiero no responder,MySQL,Crecimiento profesional,No aplica
1/07/2026 23:55:10,Santa Elena,Estoy buscando empleo,Híbrida,Estudiante,Java,Entre 1 y 3 años,Menos de $500,"Laravel, Spring Boot, React, PostgreSQL, MySQL, GitHub",Crecimiento profesional,No aplica
1/07/2026 23:56:57,Guayas,Estoy buscando empleo,Presencial,Analista de Datos,Java,Entre 1 y 3 años,Prefiero no responder,"Laravel, React, Angular, Node.js, GitHub",Ambiente laboral,No aplica
2/07/2026 0:03:18,Guayas,Sí,Remota,Soporte Técnico,Rust,Entre 4 y 6 años,$500 - $800,"Django, Vue, Docker, MySQL, AWS, Git",Crecimiento profesional,No
2/07/2026 0:07:29,Santa Elena,Soy estudiante,Presencial,Estudiante,JavaScript,Entre 4 y 6 años,Prefiero no responder,"Spring Boot, .NET, MongoDB, Azure, Git, GitHub",Crecimiento profesional,No aplica
2/07/2026 0:10:35,Santa Elena,Soy estudiante,Presencial,Estudiante,Otro,Entre 1 y 3 años,Menos de $500,"Spring Boot, .NET, Git, GitHub",Estabilidad laboral,No aplica
2/07/2026 0:10:38,Santa Elena,Soy estudiante,Híbrida,Estudiante,JavaScript,Entre 1 y 3 años,Prefiero no responder,"Laravel, Node.js, Docker, PostgreSQL, MongoDB, Git",Crecimiento profesional,No aplica
2/07/2026 0:16:04,Santa Elena,Estoy buscando empleo,Híbrida,Ingeniero de Software,Java,Menos de 1 año,Menos de $500,Spring Boot,Beneficios,No aplica
2/07/2026 0:18:39,Santa Elena,Sí,Presencial,Analista de Datos,Python,Entre 1 y 3 años,$500 - $800,"Laravel, Flask, Angular, .NET, MongoDB, Git",Ambiente laboral,No
2/07/2026 0:22:07,Santa Elena,Sí,Híbrida,Desarrollador Full Stack,Java,Entre 7 y 10 años,$801 - $1200,"Spring Boot, Angular, PostgreSQL, AWS, Git",Crecimiento profesional,No
2/07/2026 0:26:37,Guayas,Sí,Remota,Analista de Datos,Java,Entre 4 y 6 años,$801 - $1200,"Angular, Node.js, .NET, AWS, Git",Crecimiento profesional,No
2/07/2026 0:33:46,Santa Elena,Soy estudiante,Presencial,Estudiante,Java,Entre 1 y 3 años,Prefiero no responder,"Laravel, Angular, Node.js, PostgreSQL, Git",Crecimiento profesional,No aplica
2/07/2026 0:35:26,Santa Elena,Soy estudiante,Remota,Estudiante,JavaScript,Entre 4 y 6 años,Prefiero no responder,"Spring Boot, React, Vue, Node.js, MySQL, Git",Ambiente laboral,No aplica
2/07/2026 0:36:36,Santa Elena,Soy estudiante,Híbrida,Estudiante,JavaScript,Entre 1 y 3 años,Menos de $500,"Laravel, Django, Vue, Node.js, Kubernetes, PostgreSQL, GitHub",Crecimiento profesional,No aplica
2/07/2026 0:38:08,Guayas,Estoy buscando empleo,Remota,Analista de Sistemas,Java,Entre 1 y 3 años,Prefiero no responder,"Laravel, React, Docker, PostgreSQL, MongoDB, Azure, Git",Salario,No aplica
2/07/2026 0:39:07,Santa Elena,Soy estudiante,Remota,Estudiante,JavaScript,Entre 4 y 6 años,Prefiero no responder,"Spring Boot, Node.js, .NET, Kubernetes, PostgreSQL, AWS, Git",Crecimiento profesional,No aplica
2/07/2026 0:40:45,Santa Elena,Soy estudiante,Presencial,Estudiante,Java,Entre 1 y 3 años,Prefiero no responder,"Angular, Node.js, .NET, PostgreSQL, MongoDB, Git",Crecimiento profesional,No aplica
2/07/2026 0:43:29,Santa Elena,Soy estudiante,Presencial,Estudiante,JavaScript,Entre 1 y 3 años,Prefiero no responder,"Laravel, Django, Angular, .NET, Docker, PostgreSQL, MongoDB, AWS, Git",Ambiente laboral,No aplica